ds,y,,,,,,,,,,,
31-12-1991,5.45,,,,,,,,,,,
31-01-1992,5.454166667,,,,,,,,,,,
29-02-1992,5.458333333,,,,,,,,,,,
31-03-1992,5.4625,,,,,,,,,,,
30-04-1992,5.466666667,,,,,,,,,,,
31-05-1992,5.470833333,,,,,,,,,,,
30-06-1992,5.475,,,,,,,,,,,
31-07-1992,5.479166667,,,,,,,,,,,
31-08-1992,5.483333333,,,,,,,,,,,
30-09-1992,5.4875,,,,,,,,,,,
31-10-1992,5.491666667,,,,,,,,,,,
30-11-1992,5.495833333,,,,,,,,,,,
31-12-1992,5.5,,,,,,,,,,,
31-01-1993,5.509166667,,,,,,,,,,,
28-02-1993,5.518333333,,,,,,,,,,,
31-03-1993,5.5275,,,,,,,,,,,
30-04-1993,5.536666667,,,,,,,,,,,
31-05-1993,5.545833333,,,,,,,,,,,
30-06-1993,5.555,,,,,,,,,,,
31-07-1993,5.564166667,,,,,,,,,,,
31-08-1993,5.573333333,,,,,,,,,,,
30-09-1993,5.5825,,,,,,,,,,,
31-10-1993,5.591666667,,,,,,,,,,,
30-11-1993,5.600833333,,,,,,,,,,,
31-12-1993,5.61,,,,,,,,,,,
31-01-1994,5.611666667,,,,,,,,,,,
28-02-1994,5.613333333,,,,,,,,,,,
31-03-1994,5.615,,,,,,,,,,,
30-04-1994,5.616666667,,,,,,,,,,,
31-05-1994,5.618333333,,,,,,,,,,,
30-06-1994,5.62,,,,,,,,,,,
31-07-1994,5.621666667,,,,,,,,,,,
31-08-1994,5.623333333,,,,,,,,,,,
30-09-1994,5.625,,,,,,,,,,,
31-10-1994,5.626666667,,,,,,,,,,,
30-11-1994,5.628333333,,,,,,,,,,,
31-12-1994,5.63,,,,,,,,,,,
31-01-1995,5.630833333,,,,,,,,,,,
28-02-1995,5.631666667,,,,,,,,,,,
31-03-1995,5.6325,,,,,,,,,,,
30-04-1995,5.633333333,,,,,,,,,,,
31-05-1995,5.634166667,,,,,,,,,,,
30-06-1995,5.635,,,,,,,,,,,
31-07-1995,5.635833333,,,,,,,,,,,
31-08-1995,5.636666667,,,,,,,,,,,
30-09-1995,5.6375,,,,,,,,,,,
31-10-1995,5.638333333,,,,,,,,,,,
30-11-1995,5.639166667,,,,,,,,,,,
31-12-1995,5.64,,,,,,,,,,,
31-01-1996,5.640833333,,,,,,,,,,,
29-02-1996,5.641666667,,,,,,,,,,,
31-03-1996,5.6425,,,,,,,,,,,
30-04-1996,5.643333333,,,,,,,,,,,
31-05-1996,5.644166667,,,,,,,,,,,
30-06-1996,5.645,,,,,,,,,,,
31-07-1996,5.645833333,,,,,,,,,,,
31-08-1996,5.646666667,,,,,,,,,,,
30-09-1996,5.6475,,,,,,,,,,,
31-10-1996,5.648333333,,,,,,,,,,,
30-11-1996,5.649166667,,,,,,,,,,,
31-12-1996,5.65,,,,,,,,,,,
31-01-1997,5.649166667,,,,,,,,,,,
28-02-1997,5.648333333,,,,,,,,,,,
31-03-1997,5.6475,,,,,,,,,,,
30-04-1997,5.646666667,,,,,,,,,,,
31-05-1997,5.645833333,,,,,,,,,,,
30-06-1997,5.645,,,,,,,,,,,
31-07-1997,5.644166667,,,,,,,,,,,
31-08-1997,5.643333333,,,,,,,,,,,
30-09-1997,5.6425,,,,,,,,,,,
31-10-1997,5.641666667,,,,,,,,,,,
30-11-1997,5.640833333,,,,,,,,,,,
31-12-1997,5.64,,,,,,,,,,,
31-01-1998,5.639166667,,,,,,,,,,,
28-02-1998,5.638333333,,,,,,,,,,,
31-03-1998,5.6375,,,,,,,,,,,
30-04-1998,5.636666667,,,,,,,,,,,
31-05-1998,5.635833333,,,,,,,,,,,
30-06-1998,5.635,,,,,,,,,,,
31-07-1998,5.634166667,,,,,,,,,,,
31-08-1998,5.633333333,,,,,,,,,,,
30-09-1998,5.6325,,,,,,,,,,,
31-10-1998,5.631666667,,,,,,,,,,,
30-11-1998,5.630833333,,,,,,,,,,,
31-12-1998,5.63,,,,,,,,,,,
31-01-1999,5.635,,,,,,,,,,,
28-02-1999,5.64,,,,,,,,,,,
31-03-1999,5.645,,,,,,,,,,,
30-04-1999,5.65,,,,,,,,,,,
31-05-1999,5.655,,,,,,,,,,,
30-06-1999,5.66,,,,,,,,,,,
31-07-1999,5.665,,,,,,,,,,,
31-08-1999,5.67,,,,,,,,,,,
30-09-1999,5.675,,,,,,,,,,,
31-10-1999,5.68,,,,,,,,,,,
30-11-1999,5.685,,,,,,,,,,,
31-12-1999,5.69,,,,,,,,,,,
31-01-2000,5.6875,,,,,,,,,,,
29-02-2000,5.685,,,,,,,,,,,
31-03-2000,5.6825,,,,,,,,,,,
30-04-2000,5.68,,,,,,,,,,,
31-05-2000,5.6775,,,,,,,,,,,
30-06-2000,5.675,,,,,,,,,,,
31-07-2000,5.6725,,,,,,,,,,,
31-08-2000,5.67,,,,,,,,,,,
30-09-2000,5.6675,,,,,,,,,,,
31-10-2000,5.665,,,,,,,,,,,
30-11-2000,5.6625,,,,,,,,,,,
31-12-2000,5.66,,,,,,,,,,,
31-01-2001,5.66,,,,,,,,,,,
28-02-2001,5.66,,,,,,,,,,,
31-03-2001,5.66,,,,,,,,,,,
30-04-2001,5.66,,,,,,,,,,,
31-05-2001,5.66,,,,,,,,,,,
30-06-2001,5.66,,,,,,,,,,,
31-07-2001,5.66,,,,,,,,,,,
31-08-2001,5.66,,,,,,,,,,,
30-09-2001,5.66,,,,,,,,,,,
31-10-2001,5.66,,,,,,,,,,,
30-11-2001,5.66,,,,,,,,,,,
31-12-2001,5.66,,,,,,,,,,,
31-01-2002,5.665,,,,,,,,,,,
28-02-2002,5.67,,,,,,,,,,,
31-03-2002,5.675,,,,,,,,,,,
30-04-2002,5.68,,,,,,,,,,,
31-05-2002,5.685,,,,,,,,,,,
30-06-2002,5.69,,,,,,,,,,,
31-07-2002,5.695,,,,,,,,,,,
31-08-2002,5.7,,,,,,,,,,,
30-09-2002,5.705,,,,,,,,,,,
31-10-2002,5.71,,,,,,,,,,,
30-11-2002,5.715,,,,,,,,,,,
31-12-2002,5.72,,,,,,,,,,,
31-01-2003,5.720833333,,,,,,,,,,,
28-02-2003,5.721666667,,,,,,,,,,,
31-03-2003,5.7225,,,,,,,,,,,
30-04-2003,5.723333333,,,,,,,,,,,
31-05-2003,5.724166667,,,,,,,,,,,
30-06-2003,5.725,,,,,,,,,,,
31-07-2003,5.725833333,,,,,,,,,,,
31-08-2003,5.726666667,,,,,,,,,,,
30-09-2003,5.7275,,,,,,,,,,,
31-10-2003,5.728333333,,,,,,,,,,,
30-11-2003,5.729166667,,,,,,,,,,,
31-12-2003,5.73,,,,,,,,,,,
31-01-2004,5.725,,,,,,,,,,,
29-02-2004,5.72,,,,,,,,,,,
31-03-2004,5.715,,,,,,,,,,,
30-04-2004,5.71,,,,,,,,,,,
31-05-2004,5.705,,,,,,,,,,,
30-06-2004,5.7,,,,,,,,,,,
31-07-2004,5.695,,,,,,,,,,,
31-08-2004,5.69,,,,,,,,,,,
30-09-2004,5.685,,,,,,,,,,,
31-10-2004,5.68,,,,,,,,,,,
30-11-2004,5.675,,,,,,,,,,,
31-12-2004,5.67,,,,,,,,,,,
31-01-2005,5.664166667,,,,,,,,,,,
28-02-2005,5.658333333,,,,,,,,,,,
31-03-2005,5.6525,,,,,,,,,,,
